"","Genotype","Sex","group","Cell_num"
"1","Kbk","F","Kbk.1m.Un",869
"2","Kbk","F","Kbk.3m.DCF",1018
"3","Kbk","F","Kbk.3m.DMSO_PEG",891
"4","Kbk","F","Kbk.3m.TCF",1100
"5","Kbk","F","Kbk.3m.Un",830
"6","WT","F","WT.1m.Un",1466
"7","WT","F","WT.3m.DCF",1080
"8","WT","F","WT.3m.DMSO_PEG",969
"9","WT","F","WT.3m.TCF",1809
"10","WT","F","WT.3m.Un",938
"11","Kbk","M","Kbk.1m.Un",1311
"12","Kbk","M","Kbk.3m.DCF",1149
"13","Kbk","M","Kbk.3m.DMSO_PEG",1478
"14","Kbk","M","Kbk.3m.TCF",2189
"15","Kbk","M","Kbk.3m.Un",1324
"16","WT","M","WT.1m.Un",1649
"17","WT","M","WT.3m.DCF",1062
"18","WT","M","WT.3m.DMSO_PEG",1038
"19","WT","M","WT.3m.TCF",1750
"20","WT","M","WT.3m.Un",1245
