"","WT.1m.Un","WT.3m.Un","WT.3m.DMSO_PEG","WT.3m.DCF","WT.3m.TCF","Kbk.1m.Un","Kbk.3m.Un","Kbk.3m.DMSO_PEG","Kbk.3m.DCF","Kbk.3m.TCF"
"MG",1490,1040,1144,1219,1890,1003,982,1191,907,1350
"Endo",602,437,378,487,780,411,456,480,461,656
"Pericytes",242,169,150,164,303,247,232,209,239,269
"Astro",330,167,91,66,123,145,155,123,188,294
"CP",97,114,43,32,156,138,71,75,122,199
"OPC",98,61,38,27,79,47,44,55,83,184
"OD",116,89,49,33,82,64,96,79,80,172
"Immune_cells",83,76,81,76,108,77,86,97,56,105
"DC",37,13,19,28,19,26,15,37,19,24
"VLMC",11,11,5,6,8,14,12,15,6,28
"NPC/Neuron",9,6,9,4,11,8,5,8,6,8
